instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
CMT6,CMT,cvrplib/CMT/CMT6.vrp,51,555.43,6,524.6111466425075,-5.5486475987059505,5,226,1.0010515439998926,1.0,0,True,clarke_wright_alns_vns,ok,,1.1092820419999043
CMT7,CMT,cvrplib/CMT/CMT7.vrp,76,909.675,11,865.1727771364054,-4.892101339884521,10,54,1.0070224400005827,1.0,0,True,clarke_wright_alns_vns,ok,,1.0713687739998932
CMT8,CMT,cvrplib/CMT/CMT8.vrp,101,865.945,9,862.5041917296159,-0.3973472068531137,8,13,1.0138993939999636,1.0,0,True,clarke_wright_alns_vns,ok,,1.150676964000013
CMT9,CMT,cvrplib/CMT/CMT9.vrp,151,1162.55,14,1098.307843368979,-5.525969345922401,12,4,1.0335408310002094,1.0,0,True,clarke_wright_alns_vns,ok,,1.0920176059998994
E-n101-k14,E,cvrplib/E/E-n101-k14.vrp,101,1067.0,14,1130.0,5.904404873477039,14,12,1.000646090000373,1.0,0,True,clarke_wright_alns_vns,ok,,1.1415761079997537
E-n101-k8,E,cvrplib/E/E-n101-k8.vrp,101,815.0,8,840.0,3.067484662576687,8,19,1.0307822369995847,1.0,0,True,clarke_wright_alns_vns,ok,,1.0932322569997268
E-n22-k4,E,cvrplib/E/E-n22-k4.vrp,22,375.0,4,375.0,0.0,4,1255,1.0025886390003507,1.0,0,True,clarke_wright_alns_vns,ok,,1.0636908279993804
E-n23-k3,E,cvrplib/E/E-n23-k3.vrp,23,569.0,3,569.0,0.0,3,635,1.0005599779997283,1.0,0,True,clarke_wright_alns_vns,ok,,1.0603664569998728
E-n30-k3,E,cvrplib/E/E-n30-k3.vrp,30,534.0,3,537.0,0.5617977528089888,3,514,1.002088611000545,1.0,0,True,clarke_wright_alns_vns,ok,,1.116126921000614
E-n33-k4,E,cvrplib/E/E-n33-k4.vrp,33,835.0,4,835.0,0.0,4,401,1.0000646839998808,1.0,0,True,clarke_wright_alns_vns,ok,,1.068224495999857
E-n51-k5,E,cvrplib/E/E-n51-k5.vrp,51,521.0,5,526.0,0.9596928982725527,5,214,1.0022082610003054,1.0,0,True,clarke_wright_alns_vns,ok,,1.1307392339995204
E-n76-k10,E,cvrplib/E/E-n76-k10.vrp,76,830.0,10,862.0,3.8554216867469884,10,57,1.0090525199993863,1.0,0,True,clarke_wright_alns_vns,ok,,1.0741410810005618
E-n76-k14,E,cvrplib/E/E-n76-k14.vrp,76,1021.0,14,1090.0,6.758080313418217,14,48,1.0318162660005328,1.0,0,True,clarke_wright_alns_vns,ok,,1.0972922520004431
E-n76-k7,E,cvrplib/E/E-n76-k7.vrp,76,682.0,7,693.0,1.6129032258064515,7,42,1.0011760850002247,1.0,0,True,clarke_wright_alns_vns,ok,,1.0645485380000537
E-n76-k8,E,cvrplib/E/E-n76-k8.vrp,76,735.0,8,743.0,1.0884353741496597,8,61,1.0109258140000748,1.0,0,True,clarke_wright_alns_vns,ok,,1.1441346120000162
F-n135-k7,F,cvrplib/F/F-n135-k7.vrp,135,1162.0,7,1183.0007264403462,1.8072914320435605,7,4,1.121724204000202,1.0,0,True,clarke_wright_alns_vns,ok,,1.190622527999949
F-n45-k4,F,cvrplib/F/F-n45-k4.vrp,45,724.0,4,727.7463291782954,0.5174487815325076,4,146,1.002863183000045,1.0,0,True,clarke_wright_alns_vns,ok,,1.1176942440006314
F-n72-k4,F,cvrplib/F/F-n72-k4.vrp,72,237.0,4,250.0,5.485232067510549,4,46,1.017496635000498,1.0,0,True,clarke_wright_alns_vns,ok,,1.0769685129998834
M-n101-k10,M,cvrplib/M/M-n101-k10.vrp,101,820.0,10,821.0,0.12195121951219512,10,14,1.0456245409995972,1.0,0,True,clarke_wright_alns_vns,ok,,1.1647354710003128
M-n121-k7,M,cvrplib/M/M-n121-k7.vrp,121,1034.0,7,1269.0,22.727272727272727,7,12,1.014239811999687,1.0,0,True,clarke_wright_alns_vns,ok,,1.0996238890002132
M-n200-k16,M,cvrplib/M/M-n200-k16.vrp,200,1274.0,16,1909.0,49.84301412872841,16,2,1.021808895000504,1.0,0,True,clarke_wright_alns_vns,ok,,1.0809164499996768
