instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,route_gap,iterations,time,time_limit,seed,feasible,benchmark_feasible,mode,status,error,wall_time
XML100_3112_23,XML,cvrplib/XML/XML100_3112_23.vrp,101,,,31403.0,,17,,0,0.005505314999936672,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07777684899974702
XML100_3112_24,XML,cvrplib/XML/XML100_3112_24.vrp,101,,,35558.0,,20,,0,0.004221564000545186,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07804258899977867
XML100_3112_25,XML,cvrplib/XML/XML100_3112_25.vrp,101,,,26653.0,,15,,0,0.0058004239999718266,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08347645399953763
XML100_3112_26,XML,cvrplib/XML/XML100_3112_26.vrp,101,,,30539.0,,17,,0,0.0064527040003667935,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08110412399946654
XML100_3113_01,XML,cvrplib/XML/XML100_3113_01.vrp,101,,,24815.0,,13,,0,0.004691673000706942,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0802593300004446
XML100_3113_02,XML,cvrplib/XML/XML100_3113_02.vrp,101,,,22775.0,,12,,0,0.006679320999865013,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07552805900013482
XML100_3113_03,XML,cvrplib/XML/XML100_3113_03.vrp,101,,,21708.0,,10,,0,0.004218840000248747,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08071496100001241
XML100_3113_04,XML,cvrplib/XML/XML100_3113_04.vrp,101,,,25813.0,,13,,0,0.004329442000198469,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07853565000004892
XML100_3113_05,XML,cvrplib/XML/XML100_3113_05.vrp,101,,,19961.0,,10,,0,0.004234310000356345,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07701667600031215
XML100_3113_06,XML,cvrplib/XML/XML100_3113_06.vrp,101,,,22636.0,,12,,0,0.004835529000047245,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0757781199999954
XML100_3113_07,XML,cvrplib/XML/XML100_3113_07.vrp,101,,,18957.0,,10,,0,0.0060329809994073,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07922201499968651
XML100_3113_08,XML,cvrplib/XML/XML100_3113_08.vrp,101,,,22254.0,,10,,0,0.006369300999722327,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0799284489994534
XML100_3113_09,XML,cvrplib/XML/XML100_3113_09.vrp,101,,,22801.0,,12,,0,0.005742725999880349,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08161893500073347
XML100_3113_10,XML,cvrplib/XML/XML100_3113_10.vrp,101,,,23576.0,,12,,0,0.006264826000005996,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07745125600013125
XML100_3113_11,XML,cvrplib/XML/XML100_3113_11.vrp,101,,,23087.0,,12,,0,0.0061932149992571794,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07872411600055784
XML100_3113_12,XML,cvrplib/XML/XML100_3113_12.vrp,101,,,19156.0,,10,,0,0.004376964000584849,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07902601499972661
XML100_3113_13,XML,cvrplib/XML/XML100_3113_13.vrp,101,,,25341.0,,13,,0,0.0067148569996788865,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08184487499966053
XML100_3113_14,XML,cvrplib/XML/XML100_3113_14.vrp,101,,,19560.0,,10,,0,0.005678238999280438,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0753682230006234
XML100_3113_15,XML,cvrplib/XML/XML100_3113_15.vrp,101,,,22325.0,,12,,0,0.005112742000164872,0.0,0,True,True,clarke_wright_construction_only,ok,,0.080917084000248
XML100_3113_16,XML,cvrplib/XML/XML100_3113_16.vrp,101,,,22146.0,,12,,0,0.0043942990005234606,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07989045099930081
XML100_3113_17,XML,cvrplib/XML/XML100_3113_17.vrp,101,,,22580.0,,12,,0,0.005901775999518577,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08542962200044713
XML100_3113_18,XML,cvrplib/XML/XML100_3113_18.vrp,101,,,23227.0,,12,,0,0.004456871000002138,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07895621999978175
XML100_3113_19,XML,cvrplib/XML/XML100_3113_19.vrp,101,,,22062.0,,12,,0,0.006197445999532647,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08615155499956018
XML100_3113_20,XML,cvrplib/XML/XML100_3113_20.vrp,101,,,18878.0,,10,,0,0.0060951319992454955,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07845899699987058
XML100_3113_21,XML,cvrplib/XML/XML100_3113_21.vrp,101,,,21806.0,,10,,0,0.004303242000787577,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07995928699983779
XML100_3113_22,XML,cvrplib/XML/XML100_3113_22.vrp,101,,,25114.0,,13,,0,0.006638123999437084,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0831199270005527
XML100_3113_23,XML,cvrplib/XML/XML100_3113_23.vrp,101,,,20384.0,,10,,0,0.004743860999951721,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07766071199966973
XML100_3113_24,XML,cvrplib/XML/XML100_3113_24.vrp,101,,,22791.0,,12,,0,0.00975299099991389,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08730802600075549
XML100_3113_25,XML,cvrplib/XML/XML100_3113_25.vrp,101,,,22450.0,,12,,0,0.005232339999565738,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08125500099959027
