instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
P-n55-k8,P,cvrplib/P/P-n55-k8.vrp,55,588.0,8,578.0,-1.7006802721088436,7,63,1.0073273160001008,1.0,0,True,clarke_wright_alns_vns,ok,,1.125939582999763
P-n60-k10,P,cvrplib/P/P-n60-k10.vrp,60,744.0,10,744.0,0.0,10,97,1.0044846760001747,1.0,0,True,clarke_wright_alns_vns,ok,,1.0687843989999237
P-n60-k15,P,cvrplib/P/P-n60-k15.vrp,60,968.0,15,979.0,1.1363636363636365,15,44,1.0252201650000643,1.0,0,True,clarke_wright_alns_vns,ok,,1.145912006999879
P-n65-k10,P,cvrplib/P/P-n65-k10.vrp,65,792.0,10,816.0,3.0303030303030303,10,62,1.0055563410001014,1.0,0,True,clarke_wright_alns_vns,ok,,1.0582947739999327
P-n70-k10,P,cvrplib/P/P-n70-k10.vrp,70,827.0,10,851.0,2.902055622732769,10,53,1.0291332749998219,1.0,0,True,clarke_wright_alns_vns,ok,,1.157044512000084
P-n76-k4,P,cvrplib/P/P-n76-k4.vrp,76,593.0,4,620.0,4.5531197301854975,4,69,1.0164176390003377,1.0,0,True,clarke_wright_alns_vns,ok,,1.153434475999802
P-n76-k5,P,cvrplib/P/P-n76-k5.vrp,76,627.0,5,635.0,1.2759170653907497,5,59,1.0020235249999132,1.0,0,True,clarke_wright_alns_vns,ok,,1.1183836340001108
X-n1001-k43,X,cvrplib/X/X-n1001-k43.vrp,1001,72355.0,43,77183.0,6.672655656139866,43,0,1.0326967519999926,1.0,0,True,clarke_wright_construction_only,ok,,1.2620966600002248
X-n101-k25,X,cvrplib/X/X-n101-k25.vrp,101,27591.0,26,28425.0,3.0227248015657278,27,14,1.012585186999786,1.0,0,True,clarke_wright_alns_vns,ok,,1.0870250540001507
X-n106-k14,X,cvrplib/X/X-n106-k14.vrp,106,26362.0,14,26874.0,1.942189515211289,14,4,1.0707094809999944,1.0,0,True,clarke_wright_alns_vns,ok,,1.2003627320000305
X-n110-k13,X,cvrplib/X/X-n110-k13.vrp,110,14971.0,13,15523.0,3.6871284483334446,13,9,1.090193046999957,1.0,0,True,clarke_wright_alns_vns,ok,,1.1720643960002235
X-n115-k10,X,cvrplib/X/X-n115-k10.vrp,115,12747.0,10,13451.0,5.522868125833529,11,8,1.0094905109999672,1.0,0,True,clarke_wright_alns_vns,ok,,1.1327514079998764
X-n120-k6,X,cvrplib/X/X-n120-k6.vrp,120,13332.0,6,14250.0,6.885688568856886,6,3,1.0263357550002183,1.0,0,True,clarke_wright_alns_vns,ok,,1.1382596449998346
X-n125-k30,X,cvrplib/X/X-n125-k30.vrp,125,55539.0,30,57520.0,3.5668629251516952,31,7,1.1153114369999457,1.0,0,True,clarke_wright_alns_vns,ok,,1.180265646999942
X-n129-k18,X,cvrplib/X/X-n129-k18.vrp,129,28940.0,18,30088.0,3.9668279198341394,18,7,1.071998395999799,1.0,0,True,clarke_wright_alns_vns,ok,,1.1259371340001962
X-n134-k13,X,cvrplib/X/X-n134-k13.vrp,134,10916.0,13,11408.0,4.507145474532796,14,9,1.0195411439999589,1.0,0,True,clarke_wright_alns_vns,ok,,1.078934051000033
X-n139-k10,X,cvrplib/X/X-n139-k10.vrp,139,13590.0,10,14386.0,5.857247976453275,10,6,1.0708642949998648,1.0,0,True,clarke_wright_alns_vns,ok,,1.124710400999902
X-n148-k46,X,cvrplib/X/X-n148-k46.vrp,148,43448.0,47,44347.0,2.069140121524581,47,5,1.091358924999895,1.0,0,True,clarke_wright_alns_vns,ok,,1.1462379940003302
X-n143-k7,X,cvrplib/X/X-n143-k7.vrp,143,15700.0,7,17305.0,10.222929936305732,7,7,1.5417064110001775,1.0,0,True,clarke_wright_alns_vns,ok,,1.5964611069998682
X-n153-k22,X,cvrplib/X/X-n153-k22.vrp,153,21220.0,23,22479.0,5.933081998114986,25,5,1.2870068940001147,1.0,0,True,clarke_wright_alns_vns,ok,,1.3445363679998081
X-n157-k13,X,cvrplib/X/X-n157-k13.vrp,157,16876.0,13,17641.0,4.533064707276606,13,1,1.7218390969997017,1.0,0,True,clarke_wright_alns_vns,ok,,1.8424149380002746
X-n162-k11,X,cvrplib/X/X-n162-k11.vrp,162,14138.0,11,15264.0,7.964351393407837,11,3,1.075932881999961,1.0,0,True,clarke_wright_alns_vns,ok,,1.1830788299998858
X-n167-k10,X,cvrplib/X/X-n167-k10.vrp,167,20557.0,10,21716.0,5.637982195845697,10,2,1.0236755649998486,1.0,0,True,clarke_wright_alns_vns,ok,,1.1450036689998342
X-n172-k51,X,cvrplib/X/X-n172-k51.vrp,172,45607.0,53,47687.0,4.560703400793738,56,3,1.2090797149999162,1.0,0,True,clarke_wright_alns_vns,ok,,1.2730174319999605
X-n176-k26,X,cvrplib/X/X-n176-k26.vrp,176,47812.0,26,51182.0,7.048439722245462,28,3,1.2691913749999912,1.0,0,True,clarke_wright_alns_vns,ok,,1.3330888270002106
X-n186-k15,X,cvrplib/X/X-n186-k15.vrp,186,24145.0,15,25391.0,5.160488714019466,15,1,2.3587796070000877,1.0,0,True,clarke_wright_alns_vns,ok,,2.462591916999827
X-n181-k23,X,cvrplib/X/X-n181-k23.vrp,181,25569.0,23,26149.0,2.268371856545035,23,1,4.175316407000082,1.0,0,True,clarke_wright_alns_vns,ok,,4.310866337999869
X-n190-k8,X,cvrplib/X/X-n190-k8.vrp,190,16980.0,8,17876.0,5.276796230859835,8,3,1.12505341699989,1.0,0,True,clarke_wright_alns_vns,ok,,1.240430784000182
X-n195-k51,X,cvrplib/X/X-n195-k51.vrp,195,44225.0,53,45516.0,2.919163369135105,54,4,1.0548311139996258,1.0,0,True,clarke_wright_alns_vns,ok,,1.1866148140002224
X-n200-k36,X,cvrplib/X/X-n200-k36.vrp,200,58578.0,36,61796.0,5.493529994195773,38,1,1.686597908999829,1.0,0,True,clarke_wright_alns_vns,ok,,1.7497715979998247
X-n204-k19,X,cvrplib/X/X-n204-k19.vrp,204,19565.0,19,21260.0,8.663429593662151,19,11,1.0836484409996956,1.0,0,True,clarke_wright_alns_vns,ok,,1.1443909979998352
