instance,subset,dimension,runs,bks,bks_routes,route_gap,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
P-n76-k5,P,76,1,627.0,5,0,631.0,0.6379585326953748,0.6379585326953748,0.6379585326953748,0.0,631.0,0.0,1.0158481929993286,70.0,full_experiment_seed0_final.csv,
Tai100b,tai,101,1,1939.9,11,0,1975.7568864782352,1.8483883951871272,1.8483883951871272,1.8483883951871272,0.0,1975.7568864782352,0.0,1.1086456810007803,14.0,full_experiment_seed0_final.csv,
Tai100c,tai,101,1,1406.2,11,0,1428.1546834666688,1.561277447494575,1.561277447494575,1.561277447494575,0.0,1428.1546834666688,0.0,1.0238358050000897,15.0,full_experiment_seed0_final.csv,
Tai150a,tai,151,1,3055.23,15,0,3327.1084966713624,8.898789834852447,8.898789834852447,8.898789834852447,0.0,3327.1084966713624,0.0,1.1152870179994352,3.0,full_experiment_seed0_final.csv,
Tai150b,tai,151,1,2727.03,14,0,2861.610634282978,4.935062477603027,4.935062477603027,4.935062477603027,0.0,2861.610634282978,0.0,1.0445708859997467,3.0,full_experiment_seed0_final.csv,
Tai150c,tai,151,1,2358.66,15,0,2441.2435381826936,3.501290486237682,3.501290486237682,3.501290486237682,0.0,2441.2435381826936,0.0,1.2663186479994692,5.0,full_experiment_seed0_final.csv,
Tai75a,tai,76,1,1618.36,10,0,1642.5179959521395,1.4927454924824868,1.4927454924824868,1.4927454924824868,0.0,1642.5179959521395,0.0,1.0312205159998484,37.0,full_experiment_seed0_final.csv,
Tai75b,tai,76,1,1344.62,10,0,1350.189998587492,0.41424332432152855,0.41424332432152855,0.41424332432152855,0.0,1350.189998587492,0.0,1.0089615950000734,30.0,full_experiment_seed0_final.csv,
Tai75c,tai,76,1,1291.01,9,0,1322.672837756978,2.4525633230554353,2.4525633230554353,2.4525633230554353,0.0,1322.672837756978,0.0,1.0165570350000053,47.0,full_experiment_seed0_final.csv,
Tai75d,tai,76,1,1365.42,9,0,1394.941751072244,2.162100384661415,2.162100384661415,2.162100384661415,0.0,1394.941751072244,0.0,1.0048326900005122,34.0,full_experiment_seed0_final.csv,
X-n10001-k1570,XL,10001,1,,,,5154791.0,,,,0.0,5154791.0,0.0,0.020020961000227544,0.0,full_experiment_seed0_final.csv,
X-n1001-k43,X,1001,1,72355.0,43,0,77183.0,6.672655656139866,6.672655656139866,6.672655656139866,0.0,77183.0,0.0,1.033043328000531,1.0,full_experiment_seed0_final.csv,
X-n1048-k237,XL,1048,1,,,,703927.0,,,,0.0,703927.0,0.0,0.0018416130005789455,0.0,full_experiment_seed0_final.csv,
X-n106-k14,X,106,1,26362.0,14,0,26874.0,1.942189515211289,1.942189515211289,1.942189515211289,0.0,26874.0,0.0,1.0514372350007761,5.0,full_experiment_seed0_final.csv,
X-n1094-k157,XL,1094,1,,,,239164.0,,,,0.0,239164.0,0.0,0.0015181100006884662,0.0,full_experiment_seed0_final.csv,
X-n110-k13,X,110,1,14971.0,13,0,15523.0,3.6871284483334446,3.6871284483334446,3.6871284483334446,0.0,15523.0,0.0,1.0516696029999366,9.0,full_experiment_seed0_final.csv,
X-n1141-k112,XL,1141,1,,,,233978.0,,,,0.0,233978.0,0.0,0.0016987369999696966,0.0,full_experiment_seed0_final.csv,
X-n1188-k96,XL,1188,1,,,,256897.0,,,,0.0,256897.0,0.0,0.0018959259996336186,0.0,full_experiment_seed0_final.csv,
X-n120-k6,X,120,1,13332.0,6,0,14250.0,6.885688568856886,6.885688568856886,6.885688568856886,0.0,14250.0,0.0,1.1863859249997404,6.0,full_experiment_seed0_final.csv,
X-n1234-k55,XL,1234,1,,,,455849.0,,,,0.0,455849.0,0.0,0.001326266999967629,0.0,full_experiment_seed0_final.csv,
X-n1281-k29,XL,1281,1,,,,147457.0,,,,0.0,147457.0,0.0,0.0013409410003077937,0.0,full_experiment_seed0_final.csv,
X-n129-k18,X,129,1,28940.0,18,0,30088.0,3.9668279198341394,3.9668279198341394,3.9668279198341394,0.0,30088.0,0.0,1.16378101600003,9.0,full_experiment_seed0_final.csv,
X-n1328-k19,XL,1328,1,,,,279760.0,,,,0.0,279760.0,0.0,0.0013557910006056773,0.0,full_experiment_seed0_final.csv,
X-n1374-k278,XL,1374,1,,,,407560.0,,,,0.0,407560.0,0.0,0.0019735509995371103,0.0,full_experiment_seed0_final.csv,
X-n139-k10,X,139,1,13590.0,10,0,14386.0,5.857247976453275,5.857247976453275,5.857247976453275,0.0,14386.0,0.0,1.0992978409994976,6.0,full_experiment_seed0_final.csv,
X-n1421-k232,XL,1421,1,,,,589061.0,,,,0.0,589061.0,0.0,0.001610652000636037,0.0,full_experiment_seed0_final.csv,
X-n143-k7,X,143,1,15700.0,7,0,17433.0,11.038216560509555,11.038216560509555,11.038216560509555,0.0,17433.0,0.0,1.045087317999787,6.0,full_experiment_seed0_final.csv,
X-n1468-k151,XL,1468,1,,,,637907.0,,,,0.0,637907.0,0.0,0.0016035870003179298,0.0,full_experiment_seed0_final.csv,
X-n148-k46,X,148,1,43448.0,47,0,44347.0,2.069140121524581,2.069140121524581,2.069140121524581,0.0,44347.0,0.0,1.076640129000225,5.0,full_experiment_seed0_final.csv,
X-n1514-k106,XL,1514,1,,,,279758.0,,,,0.0,279758.0,0.0,0.0021689909999622614,0.0,full_experiment_seed0_final.csv,
X-n1561-k75,XL,1561,1,,,,257227.0,,,,0.0,257227.0,0.0,0.0020914659999107243,0.0,full_experiment_seed0_final.csv,
X-n157-k13,X,157,1,16876.0,13,0,17641.0,4.533064707276606,4.533064707276606,4.533064707276606,0.0,17641.0,0.0,1.4271494730000995,1.0,full_experiment_seed0_final.csv,
X-n1608-k39,XL,1608,1,,,,223716.0,,,,0.0,223716.0,0.0,0.0020824270004595746,0.0,full_experiment_seed0_final.csv,
X-n162-k11,X,162,1,14138.0,11,0,15264.0,7.964351393407837,7.964351393407837,7.964351393407837,0.0,15264.0,0.0,1.2084487559995978,4.0,full_experiment_seed0_final.csv,
X-n1654-k11,XL,1654,1,,,,518756.0,,,,0.0,518756.0,0.0,0.001623312999981863,0.0,full_experiment_seed0_final.csv,
X-n167-k10,X,167,1,20557.0,10,0,21716.0,5.637982195845697,5.637982195845697,5.637982195845697,0.0,21716.0,0.0,1.1020419000005859,3.0,full_experiment_seed0_final.csv,
