batch	absolute_path	deleted_logical_bytes	classification	validation_conclusion
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-3f75860f-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-nonsolverfacts-preflight-4r-gpt55-20260620T135257Z-claw	6091847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-44388e29-nocaps-preflight-4r-gpt55-20260620T104927Z-claw	6016192	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-480e6fd9-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-preflight-4r-gpt55-20260620T132116Z-claw	6084881	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-506f9423-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-preflight-4r-gpt55-20260620T122341Z-claw	6030744	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-5ae79470-preflight-4r-gpt55-20260620T084150Z-claw	6001205	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-63b8b353-preflight-4r-gpt55-20260620T092950Z-claw	6004786	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-73063089-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-nonsolverfacts-focusitems-feedbacksem-preflight-4r-gpt55-20260620T143930Z-claw	6052962	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-7389bba6-preflight-4r-gpt55-20260620T083209Z-claw	6001205	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-7468fbe4-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-preflight-4r-gpt55-20260620T133930Z-claw	6087977	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-7993da30-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-preflight-4r-gpt55-20260620T123724Z-claw	6033500	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-8427fc84-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-preflight-4r-gpt55-20260620T124755Z-claw	6035410	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-8ba1f09d-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-nonsolverfacts-focusitems-preflight-4r-gpt55-20260620T140919Z-claw	6097607	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-9a81e10b-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-preflight-4r-gpt55-20260620T130255Z-claw	6082301	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-aa916783-nocaps-aps0-sourceheadroom-codecap0-preflight-4r-gpt55-20260620T115809Z-claw	6025404	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-c6f4eac0-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-nonsolverfacts-focusitems-gatesem-preflight-4r-gpt55-20260620T142827Z-claw	6052114	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-cb41c3c5-preflight-4r-gpt55-20260620T101240Z-claw	6012052	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-d32b2101-preflight-4r-gpt55-20260620T081449Z-claw	6001205	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-f010f383-nocaps-aps0-sourceheadroom-codecap0-plannercap0-preflight-4r-gpt55-20260620T121026Z-claw	6028116	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-size70hypctx-fb03204b-nocaps-aps0-sourceheadroom-codecap0-plannercap0-previewcap0-artifactcap0-reserve0-fullsurf-prompt96k-symbolcache-nonsolverfacts-focusitems-runtimebrief-preflight-4r-gpt55-20260620T144847Z-claw	6053265	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-twooptdetail-5669a551-preflight-4r-gpt55-20260620T055910Z-claw	5989847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-twooptphaseimport-8ca17e34-preflight-4r-gpt55-20260619T230622Z-claw	6001898	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-sourceheadroom-cf8fb5a7-preflight-1r-gpt55-20260619T210116Z-claw	6027622	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-actionpreflight-1r-gpt55-1r-gpt55-20260618T145045Z-claw	5816990	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
