instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n1374-k278,XL,1374,1,,,407560.0,,,,0.0,407560.0,0.0,0.001819446000354219,0.0,full_experiment_seed0.csv,
X-n139-k10,X,139,1,13590.0,10,14386.0,5.857247976453275,5.857247976453275,5.857247976453275,0.0,14386.0,0.0,1.0708642949998648,6.0,full_experiment_seed0.csv,
X-n1421-k232,XL,1421,1,,,589061.0,,,,0.0,589061.0,0.0,0.00197907599977043,0.0,full_experiment_seed0.csv,
X-n143-k7,X,143,1,15700.0,7,17305.0,10.222929936305732,10.222929936305732,10.222929936305732,0.0,17305.0,0.0,1.5417064110001775,7.0,full_experiment_seed0.csv,
X-n1468-k151,XL,1468,1,,,637907.0,,,,0.0,637907.0,0.0,0.0022734829999535577,0.0,full_experiment_seed0.csv,
X-n148-k46,X,148,1,43448.0,47,44347.0,2.069140121524581,2.069140121524581,2.069140121524581,0.0,44347.0,0.0,1.091358924999895,5.0,full_experiment_seed0.csv,
X-n1514-k106,XL,1514,1,,,279758.0,,,,0.0,279758.0,0.0,0.0019631780000963772,0.0,full_experiment_seed0.csv,
X-n153-k22,X,153,1,21220.0,23,22479.0,5.933081998114986,5.933081998114986,5.933081998114986,0.0,22479.0,0.0,1.2870068940001147,5.0,full_experiment_seed0.csv,
X-n1561-k75,XL,1561,1,,,257227.0,,,,0.0,257227.0,0.0,0.00157354100019802,0.0,full_experiment_seed0.csv,
X-n157-k13,X,157,1,16876.0,13,17641.0,4.533064707276606,4.533064707276606,4.533064707276606,0.0,17641.0,0.0,1.7218390969997017,1.0,full_experiment_seed0.csv,
X-n1608-k39,XL,1608,1,,,223716.0,,,,0.0,223716.0,0.0,0.0020409899998412584,0.0,full_experiment_seed0.csv,
X-n162-k11,X,162,1,14138.0,11,15264.0,7.964351393407837,7.964351393407837,7.964351393407837,0.0,15264.0,0.0,1.075932881999961,3.0,full_experiment_seed0.csv,
X-n1654-k11,XL,1654,1,,,518756.0,,,,0.0,518756.0,0.0,0.0018989080003848358,0.0,full_experiment_seed0.csv,
X-n167-k10,X,167,1,20557.0,10,21716.0,5.637982195845697,5.637982195845697,5.637982195845697,0.0,21716.0,0.0,1.0236755649998486,2.0,full_experiment_seed0.csv,
X-n1701-k562,XL,1701,1,,,760549.0,,,,0.0,760549.0,0.0,0.002264089000163949,0.0,full_experiment_seed0.csv,
X-n172-k51,X,172,1,45607.0,53,47687.0,4.560703400793738,4.560703400793738,4.560703400793738,0.0,47687.0,0.0,1.2090797149999162,3.0,full_experiment_seed0.csv,
X-n1748-k271,XL,1748,1,,,310419.0,,,,0.0,310419.0,0.0,0.0019426300000304764,0.0,full_experiment_seed0.csv,
X-n176-k26,X,176,1,47812.0,26,51182.0,7.048439722245462,7.048439722245462,7.048439722245462,0.0,51182.0,0.0,1.2691913749999912,3.0,full_experiment_seed0.csv,
X-n1794-k163,XL,1794,1,,,376700.0,,,,0.0,376700.0,0.0,0.006345356000110769,0.0,full_experiment_seed0.csv,
X-n181-k23,X,181,1,25569.0,23,26149.0,2.268371856545035,2.268371856545035,2.268371856545035,0.0,26149.0,0.0,4.175316407000082,1.0,full_experiment_seed0.csv,
X-n1841-k126,XL,1841,1,,,663695.0,,,,0.0,663695.0,0.0,0.0023399240003527666,0.0,full_experiment_seed0.csv,
X-n186-k15,X,186,1,24145.0,15,25391.0,5.160488714019466,5.160488714019466,5.160488714019466,0.0,25391.0,0.0,2.3587796070000877,1.0,full_experiment_seed0.csv,
X-n1888-k82,XL,1888,1,,,679418.0,,,,0.0,679418.0,0.0,0.002222329000233003,0.0,full_experiment_seed0.csv,
X-n190-k8,X,190,1,16980.0,8,17876.0,5.276796230859835,5.276796230859835,5.276796230859835,0.0,17876.0,0.0,1.12505341699989,3.0,full_experiment_seed0.csv,
X-n1934-k46,XL,1934,1,,,204437.0,,,,0.0,204437.0,0.0,0.0021320509999895876,0.0,full_experiment_seed0.csv,
X-n195-k51,X,195,1,44225.0,53,45516.0,2.919163369135105,2.919163369135105,2.919163369135105,0.0,45516.0,0.0,1.0548311139996258,4.0,full_experiment_seed0.csv,
X-n1981-k13,XL,1981,1,,,253373.0,,,,0.0,253373.0,0.0,0.0021443979999276053,0.0,full_experiment_seed0.csv,
X-n200-k36,X,200,1,58578.0,36,61796.0,5.493529994195773,5.493529994195773,5.493529994195773,0.0,61796.0,0.0,1.686597908999829,1.0,full_experiment_seed0.csv,
X-n2028-k617,XL,2028,1,,,761677.0,,,,0.0,761677.0,0.0,0.0031244960000549327,0.0,full_experiment_seed0.csv,
X-n204-k19,X,204,1,19565.0,19,21260.0,8.663429593662151,8.663429593662151,8.663429593662151,0.0,21260.0,0.0,1.0836484409996956,11.0,full_experiment_seed0.csv,
X-n2074-k264,XL,2074,1,,,1016108.0,,,,0.0,1016108.0,0.0,0.002388240000072983,0.0,full_experiment_seed0.csv,
X-n209-k16,X,209,1,30656.0,16,32510.0,6.047755741127349,6.047755741127349,6.047755741127349,0.0,32510.0,0.0,1.1355538140001045,9.0,full_experiment_seed0.csv,
X-n2121-k186,XL,2121,1,,,780221.0,,,,0.0,780221.0,0.0,0.0024313999997502833,0.0,full_experiment_seed0.csv,
X-n214-k11,X,214,1,10856.0,11,12077.0,11.247236551215918,11.247236551215918,11.247236551215918,0.0,12077.0,0.0,1.252545328999986,10.0,full_experiment_seed0.csv,
X-n2168-k138,XL,2168,1,,,415940.0,,,,0.0,415940.0,0.0,0.002203756000199064,0.0,full_experiment_seed0.csv,
X-n219-k73,X,219,1,117595.0,73,118364.0,0.6539393681704154,0.6539393681704154,0.6539393681704154,0.0,118364.0,0.0,1.1343282020002334,12.0,full_experiment_seed0.csv,
X-n2214-k131,XL,2214,1,,,389352.0,,,,0.0,389352.0,0.0,0.0021488390002559754,0.0,full_experiment_seed0.csv,
X-n223-k34,X,223,1,40437.0,34,42138.0,4.20654351212998,4.20654351212998,4.20654351212998,0.0,42138.0,0.0,1.163577757999974,14.0,full_experiment_seed0.csv,
X-n2261-k54,XL,2261,1,,,632543.0,,,,0.0,632543.0,0.0,0.002512864999971498,0.0,full_experiment_seed0.csv,
X-n228-k23,X,228,1,25742.0,23,27170.0,5.5473545179084764,5.5473545179084764,5.5473545179084764,0.0,27170.0,0.0,1.4071307060003164,9.0,full_experiment_seed0.csv,
X-n2307-k34,XL,2307,1,,,379889.0,,,,0.0,379889.0,0.0,0.0026220539998575987,0.0,full_experiment_seed0.csv,
X-n233-k16,X,233,1,19230.0,17,20368.0,5.917836713468539,5.917836713468539,5.917836713468539,0.0,20368.0,0.0,1.070070620000024,4.0,full_experiment_seed0.csv,
X-n2354-k631,XL,2354,1,,,1350621.0,,,,0.0,1350621.0,0.0,0.0032804510001369636,0.0,full_experiment_seed0.csv,
X-n237-k14,X,237,1,27042.0,14,29837.0,10.335773981214407,10.335773981214407,10.335773981214407,0.0,29837.0,0.0,1.0392212309998285,6.0,full_experiment_seed0.csv,
